DepDates,tof,c3d,c3a,dvd,dva,dvt,theta
7304.5,140.909090909091,305.105089851818,921.697832153121,17.4672576511546,30.3594768096079,47.8267344607625,0.457007397262332
7304.5,148.181818181818,260.765411128966,796.854252815501,16.1482324459665,28.2286069938901,44.3768394398566,0.578942285568491
7304.5,155.454545454545,223.217945430228,687.133630629841,14.9404800936994,26.2132338834765,41.1537139771759,0.700588430127495
7304.5,162.727272727273,191.316791589769,590.733419546202,13.8317313301614,24.3050081165632,38.1367394467246,0.821995379935746
7304.5,170,164.156055077013,506.129437254418,12.8123399532253,22.4973206683467,35.3096606215719,0.94321707906317
7304.5,177.272727272727,141.007089627215,432.007902959295,11.8746406104444,20.7847998056102,32.6594404160546,1.06431034575812
7304.5,184.545454545455,121.274340616704,367.218553104045,11.012462967779,19.1629474012753,30.1754103690543,1.18533384608756
7304.5,191.818181818182,104.464003027047,310.742114454698,10.2207633289812,17.6278788983444,27.8486422273256,1.30634723960247
7304.5,199.090909090909,90.1615922485951,261.667585659195,9.49534582037932,16.1761424838926,25.6714883042719,1.42741039424787
7304.5,206.363636363636,78.0157570465218,219.176208841541,8.83265288837514,14.8046009348966,23.6372538232717,1.54858263164439
7304.5,213.636363636364,67.7264855020847,182.529975725299,8.22961028859111,13.5103654919214,21.7399757805125,1.66992198580163
7304.5,220.909090909091,59.0364157159212,151.063175869269,7.68351584340927,12.290776048292,19.9742918917013,1.79148446697564
7304.5,228.181818181818,51.7243569962081,124.175963297401,7.19196475215279,11.1434269099502,18.3353916621029,1.91332332622153
7304.5,235.454545454545,45.6004164277751,101.32926216755,6.75280804019892,10.0662436970079,16.8190517372068,2.0354883177613
7304.5,242.727272727273,40.5023592965571,82.0406068373673,6.36414639182327,9.05762699813629,15.4217733899596,2.15802495573968
7304.5,250,36.2930683436028,65.8807815880998,6.0243728589458,8.11669770215078,14.1410705610966,2.28097375725866
7304.5,257.272727272727,32.8593279889059,52.4715293734642,5.73230564336079,7.24372344678233,12.9760290901431,2.40436944792917
7304.5,264.545454545455,30.113025056172,41.4855935449254,5.48753360410413,6.44093110853745,11.9284647126416,2.52824005692828
7304.5,271.818181818182,27.9987693768053,32.6539064757293,5.29138633788966,5.71435967329055,11.0057460111802,2.65260565910684
7304.5,279.090909090909,26.5251251088888,25.8020262391333,5.15025485863455,5.079569493484,10.2298243521185,2.7774758164862
7304.5,286.363636363636,25.9256678712754,21.06500995582,5.09172543164647,4.58966338153682,9.68138881318329,2.90284070195554
7304.5,293.636363636364,28.383150482315,21.5514788478246,5.32758392541263,4.64235703579815,9.96994096121078,3.02860586074086
7304.5,300.909090909091,153.073949747393,317.519366345557,12.372305757109,17.8190731056797,30.1913788627887,3.15789025081221
7304.5,308.181818181818,22.49333555346,15.0745075749851,4.74271394387855,3.88259031768548,8.62530426156403,3.28260713358684
7304.5,315.454545454545,22.1843147677729,11.7486659012903,4.71002279907146,3.42763269637957,8.13765549545102,3.40989689638323
7304.5,322.727272727273,22.6945184173824,11.5512472740151,4.76387640660234,3.39871259067534,8.16258899727768,3.53770217321895
7304.5,330,23.5776303113841,12.6278998309513,4.85568021098837,3.55357564024621,8.40925585123459,3.66592131603276
7304.5,337.272727272727,24.8271431444167,14.7080515585364,4.98268433120308,3.83510776361452,8.81779209481761,3.79449198850479
7304.5,344.545454545455,26.4815512043684,17.7371004001355,5.14602285307483,4.21154370749438,9.35756656056921,3.92335389547008
7304.5,351.818181818182,28.599175653492,21.7371540534136,5.34781971026436,4.66231209309433,10.0101318033587,4.05244378893437
7304.5,359.090909090909,31.2591507402334,26.7849743549344,5.59098835092986,5.17542021046933,10.7664085613992,4.18169502834215
7304.5,366.363636363636,34.5673247283913,33.0143040875353,5.87939833047492,5.74580752266688,11.6252058531418,4.31103828705583
7304.5,373.636363636364,38.6654292635042,40.6288271735585,6.21815320360509,6.3740746131151,12.5922278167202,4.44040266524197
7304.5,380.909090909091,43.7445927290049,49.9248761642184,6.6139695137644,7.06575375768349,13.6797232714479,4.56971697240752
7304.5,388.181818181818,50.0654796039644,61.3272495822179,7.0756964041686,7.83117166088306,14.9068680650517,4.69891107016613
7304.5,395.454545454545,57.9888729530517,75.445085192621,7.61504254440195,8.68591303160589,16.3009555760078,4.82791720577502
